id,name,attendance,midterm,assignment,logins,study_hours
STU-1664,Student 665,76,31,84,17,5
STU-1665,Student 666,51,78,33,15,12
STU-1666,Student 667,42,56,53,25,2
STU-1667,Student 668,40,80,63,17,2
STU-1668,Student 669,72,62,59,26,6
STU-1669,Student 670,79,89,48,29,11
STU-1670,Student 671,49,58,60,26,10
STU-1671,Student 672,82,75,89,18,9
STU-1672,Student 673,83,82,89,22,13
STU-1673,Student 674,68,65,48,6,4
STU-1674,Student 675,52,30,78,17,6
STU-1675,Student 676,51,81,92,23,7
STU-1676,Student 677,70,96,51,24,13
STU-1677,Student 678,85,44,53,18,11
STU-1678,Student 679,41,90,59,8,6
STU-1679,Student 680,90,71,87,9,8
STU-1680,Student 681,89,23,60,6,4
STU-1681,Student 682,74,78,93,5,12
STU-1682,Student 683,62,91,48,12,1
STU-1683,Student 684,56,39,77,25,7
STU-1684,Student 685,65,82,74,29,3
STU-1685,Student 686,47,73,84,28,14
STU-1686,Student 687,68,93,84,11,6
STU-1687,Student 688,65,76,47,25,2
STU-1688,Student 689,49,60,92,1,9
STU-1689,Student 690,65,22,76,11,1
STU-1690,Student 691,73,25,86,19,6
STU-1691,Student 692,90,24,74,9,6
STU-1692,Student 693,80,24,62,27,5
STU-1693,Student 694,46,73,46,2,13
STU-1694,Student 695,43,66,99,12,5
STU-1695,Student 696,97,68,33,4,1
STU-1696,Student 697,92,28,49,4,10
STU-1697,Student 698,89,39,76,18,12
STU-1698,Student 699,84,80,44,15,5
STU-1699,Student 700,50,54,99,19,2
STU-1700,Student 701,68,69,76,13,7
STU-1701,Student 702,95,81,38,19,3
STU-1702,Student 703,75,36,45,17,13
STU-1703,Student 704,64,22,98,6,4
STU-1704,Student 705,60,51,90,16,3
STU-1705,Student 706,96,32,39,24,3
STU-1706,Student 707,75,92,79,12,4
STU-1707,Student 708,49,87,32,19,5
STU-1708,Student 709,76,33,99,5,1
STU-1709,Student 710,48,30,80,17,4
STU-1710,Student 711,63,75,48,26,12
STU-1711,Student 712,74,86,71,23,12
STU-1712,Student 713,88,48,64,26,11
STU-1713,Student 714,74,28,75,29,8
STU-1714,Student 715,87,86,55,1,10
STU-1715,Student 716,75,44,98,28,7
STU-1716,Student 717,57,95,93,27,9
STU-1717,Student 718,88,61,66,25,5
STU-1718,Student 719,78,28,78,24,13
STU-1719,Student 720,71,98,50,23,10
STU-1720,Student 721,63,59,93,10,4
STU-1721,Student 722,62,44,34,15,8
STU-1722,Student 723,71,24,99,23,9
STU-1723,Student 724,76,30,33,21,13
STU-1724,Student 725,51,78,68,21,7
STU-1725,Student 726,88,98,64,11,14
STU-1726,Student 727,94,57,30,13,7
STU-1727,Student 728,52,91,53,5,5
STU-1728,Student 729,62,24,86,1,4
STU-1729,Student 730,64,67,99,24,14
STU-1730,Student 731,74,37,70,12,10
STU-1731,Student 732,80,89,83,11,1
STU-1732,Student 733,69,56,75,17,10
STU-1733,Student 734,56,79,89,4,10
STU-1734,Student 735,88,67,89,15,7
STU-1735,Student 736,59,96,86,25,1
STU-1736,Student 737,87,47,60,9,1
STU-1737,Student 738,64,88,53,21,5
STU-1738,Student 739,61,96,65,20,13
STU-1739,Student 740,52,59,59,19,9
STU-1740,Student 741,98,64,53,19,6
STU-1741,Student 742,58,81,59,12,3
STU-1742,Student 743,88,77,36,5,13
STU-1743,Student 744,75,86,64,10,3
STU-1744,Student 745,51,75,84,17,7
STU-1745,Student 746,80,59,43,5,6
STU-1746,Student 747,58,59,39,22,9
STU-1747,Student 748,51,96,45,16,6
STU-1748,Student 749,48,52,83,7,5
STU-1749,Student 750,46,25,99,28,10
STU-1750,Student 751,67,38,73,9,7
STU-1751,Student 752,53,99,74,3,1
STU-1752,Student 753,70,59,85,15,12
STU-1753,Student 754,91,78,86,16,7
STU-1754,Student 755,58,78,50,18,3
STU-1755,Student 756,97,67,97,14,14
STU-1756,Student 757,86,60,79,3,9
STU-1757,Student 758,55,32,62,12,6
STU-1758,Student 759,92,64,36,9,9
STU-1759,Student 760,44,72,99,28,13
STU-1760,Student 761,74,61,44,7,5
STU-1761,Student 762,51,82,61,9,7
STU-1762,Student 763,64,46,49,13,13
STU-1763,Student 764,91,57,44,18,14
STU-1764,Student 765,98,79,77,5,4
STU-1765,Student 766,60,26,50,13,7
STU-1766,Student 767,75,24,71,4,13
STU-1767,Student 768,92,64,55,2,1
STU-1768,Student 769,62,77,43,16,7
STU-1769,Student 770,55,50,86,9,8
STU-1770,Student 771,96,42,66,9,5
STU-1771,Student 772,78,61,87,6,2
STU-1772,Student 773,84,29,50,11,5
STU-1773,Student 774,92,51,98,22,6
STU-1774,Student 775,81,72,32,24,12
STU-1775,Student 776,97,49,66,22,2
STU-1776,Student 777,78,58,78,1,14
STU-1777,Student 778,53,50,48,4,6
STU-1778,Student 779,70,21,41,13,6
STU-1779,Student 780,97,97,90,23,1
STU-1780,Student 781,44,96,70,13,14
STU-1781,Student 782,74,31,62,13,1
STU-1782,Student 783,62,58,79,2,14
STU-1783,Student 784,68,85,97,9,11
STU-1784,Student 785,82,32,62,24,10
STU-1785,Student 786,50,65,53,8,3
STU-1786,Student 787,57,46,90,7,14
STU-1787,Student 788,86,36,90,4,10
STU-1788,Student 789,51,79,57,18,10
STU-1789,Student 790,48,83,87,3,12
STU-1790,Student 791,49,54,72,28,3
STU-1791,Student 792,97,89,70,6,4
STU-1792,Student 793,83,49,68,12,2
STU-1793,Student 794,56,90,78,12,9
STU-1794,Student 795,77,93,46,21,10
STU-1795,Student 796,46,82,99,28,12
STU-1796,Student 797,85,47,99,8,11
STU-1797,Student 798,52,79,94,22,14
STU-1798,Student 799,79,98,34,22,7
STU-1799,Student 800,81,56,31,1,7
STU-1800,Student 801,48,41,51,4,6
STU-1801,Student 802,89,87,86,21,3
STU-1802,Student 803,66,39,95,28,6
STU-1803,Student 804,97,87,45,11,14
STU-1804,Student 805,41,83,80,3,12
STU-1805,Student 806,44,36,68,13,8
STU-1806,Student 807,68,31,69,25,8
STU-1807,Student 808,76,41,67,17,11
STU-1808,Student 809,77,36,89,22,13
STU-1809,Student 810,58,29,88,22,9
STU-1810,Student 811,47,84,39,10,1
STU-1811,Student 812,87,41,93,21,14
STU-1812,Student 813,84,69,92,12,1
STU-1813,Student 814,40,33,78,15,3
STU-1814,Student 815,61,83,93,21,3
STU-1815,Student 816,91,66,61,10,10
STU-1816,Student 817,56,48,36,14,8
STU-1817,Student 818,46,95,50,13,10
STU-1818,Student 819,64,55,49,5,1
STU-1819,Student 820,84,71,55,6,13
STU-1820,Student 821,43,95,97,24,2
STU-1821,Student 822,75,26,44,2,2
STU-1822,Student 823,45,48,43,22,3
STU-1823,Student 824,99,30,56,17,13
STU-1824,Student 825,70,52,69,4,6
STU-1825,Student 826,58,25,87,14,1
STU-1826,Student 827,83,98,57,10,2
STU-1827,Student 828,93,51,55,3,13
STU-1828,Student 829,78,70,92,25,13
STU-1829,Student 830,66,94,95,3,1
STU-1830,Student 831,49,77,54,15,5
STU-1831,Student 832,65,45,32,6,13
STU-1832,Student 833,58,65,73,17,13
STU-1833,Student 834,78,48,71,12,7
STU-1834,Student 835,42,23,35,22,8
STU-1835,Student 836,84,32,68,20,10
STU-1836,Student 837,52,58,81,24,1
STU-1837,Student 838,89,34,52,29,7
STU-1838,Student 839,67,48,79,11,13
STU-1839,Student 840,97,48,72,25,5
STU-1840,Student 841,59,94,48,4,10
STU-1841,Student 842,67,51,98,26,1
STU-1842,Student 843,47,21,80,28,3
STU-1843,Student 844,80,66,40,26,7
STU-1844,Student 845,78,97,41,6,10
STU-1845,Student 846,40,41,37,1,1
STU-1846,Student 847,42,94,53,20,7
STU-1847,Student 848,52,46,70,23,5
STU-1848,Student 849,67,86,65,28,1
STU-1849,Student 850,96,75,84,16,1
STU-1850,Student 851,99,40,38,15,14
STU-1851,Student 852,88,66,76,17,1
STU-1852,Student 853,64,99,44,8,11
STU-1853,Student 854,95,78,77,28,9
STU-1854,Student 855,72,25,71,26,11
STU-1855,Student 856,77,38,89,12,13
STU-1856,Student 857,92,76,99,27,3
STU-1857,Student 858,45,88,41,22,13
STU-1858,Student 859,97,22,31,21,5
STU-1859,Student 860,83,20,36,10,11
STU-1860,Student 861,84,77,32,27,10
STU-1861,Student 862,71,57,32,15,12
STU-1862,Student 863,84,34,56,9,9
STU-1863,Student 864,86,53,69,2,6
STU-1864,Student 865,60,80,62,5,12
STU-1865,Student 866,55,54,30,6,9
STU-1866,Student 867,93,83,37,7,8
STU-1867,Student 868,60,44,61,21,8
STU-1868,Student 869,50,43,77,25,1
STU-1869,Student 870,99,31,33,1,13
STU-1870,Student 871,76,37,99,23,9
STU-1871,Student 872,75,34,48,26,6
STU-1872,Student 873,74,99,61,7,9
STU-1873,Student 874,58,46,38,20,3
STU-1874,Student 875,59,91,41,25,12
STU-1875,Student 876,96,79,40,12,3
STU-1876,Student 877,57,65,75,16,6
STU-1877,Student 878,86,36,45,16,9
STU-1878,Student 879,80,72,30,11,7
STU-1879,Student 880,88,27,92,21,14
STU-1880,Student 881,53,98,50,4,13
STU-1881,Student 882,54,46,59,13,3
STU-1882,Student 883,70,65,42,7,3
STU-1883,Student 884,40,69,63,4,2
STU-1884,Student 885,92,90,33,15,9
STU-1885,Student 886,93,22,57,19,13
STU-1886,Student 887,93,83,88,9,3
STU-1887,Student 888,42,63,56,11,11
STU-1888,Student 889,55,72,98,8,5
STU-1889,Student 890,62,43,54,1,14
STU-1890,Student 891,96,79,32,23,14
STU-1891,Student 892,50,22,97,25,9
STU-1892,Student 893,51,39,54,24,8
STU-1893,Student 894,49,65,49,8,2
STU-1894,Student 895,71,34,63,13,3
STU-1895,Student 896,55,44,55,22,2
STU-1896,Student 897,47,97,34,27,8
STU-1897,Student 898,77,90,90,4,6
STU-1898,Student 899,51,36,38,8,6
STU-1899,Student 900,63,28,79,3,12
STU-1900,Student 901,67,57,35,29,9
STU-1901,Student 902,92,67,89,9,8
STU-1902,Student 903,47,79,73,29,4
STU-1903,Student 904,97,82,40,2,12
STU-1904,Student 905,67,21,95,2,4
STU-1905,Student 906,75,91,76,28,9
STU-1906,Student 907,65,30,32,13,1
STU-1907,Student 908,47,83,59,15,13
STU-1908,Student 909,97,96,50,28,2
STU-1909,Student 910,99,91,57,23,2
STU-1910,Student 911,89,40,91,12,13
STU-1911,Student 912,67,37,62,26,13
STU-1912,Student 913,67,83,64,4,6
STU-1913,Student 914,76,57,81,26,4
STU-1914,Student 915,80,51,63,8,13
STU-1915,Student 916,75,30,70,9,11
STU-1916,Student 917,66,64,80,23,10
STU-1917,Student 918,93,52,76,5,13
STU-1918,Student 919,56,60,87,24,3
STU-1919,Student 920,48,27,86,20,3
STU-1920,Student 921,72,30,52,18,3
STU-1921,Student 922,92,70,77,11,6
STU-1922,Student 923,59,60,51,15,14
STU-1923,Student 924,52,36,46,28,8
STU-1924,Student 925,67,95,98,22,11
STU-1925,Student 926,87,65,40,9,7
STU-1926,Student 927,68,51,44,17,14
STU-1927,Student 928,52,98,64,27,4
STU-1928,Student 929,85,99,62,26,11
STU-1929,Student 930,74,73,45,12,12
STU-1930,Student 931,45,39,63,7,4
STU-1931,Student 932,57,52,95,10,11
STU-1932,Student 933,90,93,69,25,10
STU-1933,Student 934,44,59,57,26,11
STU-1934,Student 935,86,51,76,25,11
STU-1935,Student 936,64,21,68,10,14
STU-1936,Student 937,41,52,99,27,11
STU-1937,Student 938,49,96,49,13,2
STU-1938,Student 939,95,49,30,19,14
STU-1939,Student 940,69,52,92,11,1
STU-1940,Student 941,89,96,96,13,9
STU-1941,Student 942,98,45,33,21,12
STU-1942,Student 943,84,41,87,8,12
STU-1943,Student 944,44,85,54,8,2
STU-1944,Student 945,94,57,76,4,13
STU-1945,Student 946,95,65,67,15,8
STU-1946,Student 947,72,34,44,28,9
STU-1947,Student 948,93,63,92,11,4
STU-1948,Student 949,40,68,50,11,8
STU-1949,Student 950,57,94,86,1,9
STU-1950,Student 951,71,80,82,17,10
STU-1951,Student 952,86,86,75,15,10
STU-1952,Student 953,88,25,43,20,5
STU-1953,Student 954,50,28,46,6,13
STU-1954,Student 955,60,25,68,24,14
STU-1955,Student 956,65,92,38,22,7
STU-1956,Student 957,64,51,35,28,10
STU-1957,Student 958,61,60,52,25,4
STU-1958,Student 959,98,95,88,15,1
STU-1959,Student 960,66,27,75,9,3
STU-1960,Student 961,88,91,67,14,5
STU-1961,Student 962,52,69,43,18,3
STU-1962,Student 963,72,81,91,26,12
STU-1963,Student 964,73,81,64,17,13
STU-1964,Student 965,80,26,48,18,11
STU-1965,Student 966,74,94,59,5,7
STU-1966,Student 967,40,99,54,20,12
STU-1967,Student 968,60,23,69,20,9
STU-1968,Student 969,87,25,43,9,12
STU-1969,Student 970,94,77,55,11,6
STU-1970,Student 971,45,41,51,24,13
STU-1971,Student 972,67,45,77,22,10
STU-1972,Student 973,56,22,80,1,1
STU-1973,Student 974,44,60,32,18,7
STU-1974,Student 975,70,79,71,6,3
STU-1975,Student 976,44,33,48,27,5
STU-1976,Student 977,77,94,57,2,10
STU-1977,Student 978,42,31,74,15,4
STU-1978,Student 979,92,31,92,29,10
STU-1979,Student 980,62,32,48,26,5
STU-1980,Student 981,76,44,76,21,5
STU-1981,Student 982,92,64,43,14,6
STU-1982,Student 983,76,38,67,5,14
STU-1983,Student 984,49,74,82,6,10
STU-1984,Student 985,49,64,90,6,12
STU-1985,Student 986,58,27,65,22,10
STU-1986,Student 987,56,72,69,18,13
STU-1987,Student 988,60,74,59,14,13
STU-1988,Student 989,53,51,38,10,11
STU-1989,Student 990,48,70,93,14,6
STU-1990,Student 991,85,63,62,13,8
STU-1991,Student 992,40,89,81,3,8
STU-1992,Student 993,90,37,43,6,11
STU-1993,Student 994,84,41,82,29,9
STU-1994,Student 995,52,56,88,8,8
STU-1995,Student 996,43,75,70,12,13
STU-1996,Student 997,40,78,97,13,11
STU-1997,Student 998,88,22,97,11,2
STU-1998,Student 999,79,47,37,12,14
STU-1999,Student 1000,71,93,31,1,14
